DID,Clear bot?,Bot purpose,Alt text rating,Alt text example,Alt text original (if translated)
did:plc:tjjwcvpbdg5lly4hf3hgf3nk,Yes,Amazon affiliate links (Spanish language),3 - Good,"""⭐️#AMAZON OFFER⭐️ BLACK+DECKER 400W Corded Jigsaw, 3000 rpm, 18 mm Stroke, ±45° Bevel Cutting, Tool-Free Blade Change – Includes Wood Blade, BES602-QS""","⭐️OFERTA  #AMAZON⭐️



BLACK+DECKER Sierra de calar con cable 400W, 3000 cpm, carrera de 18 mm, corte en bisel ±45°, cambio de hoja sin herramientas – Incluye hoja para madera, BES602-QS"
did:plc:yno57mmgdgawdkt2dmviugac,Yes,Bankruptcy cases,1 - Irrelevant,Thumbnail of page 1 of the PDF linked above.,
did:plc:5olkd3vuiqu75rgyfjjovvbq,Yes,Every Pokemon Frame In Order,2 - Somewhat relevant,Pokemon - Season 1 Episode 58 - Riddle Me This (1) Frame 584/2223 Caption: who actually have Pokémon.,
did:plc:ppit36fuljo2o3bmdo4wrfii,Yes,BBC Radio 3 Now Playing Bot,0 - None,,
did:plc:5rzufhyxvobpthz4resxwbdg,Likely,Photos of men (sexually explicit),0 - None,,
did:plc:2la76cialouf2ztl7j63b3fw,Yes,Ukraine news,1 - Irrelevant,Weather data provided by,Погодні дані надано
did:plc:wbfc6kqfystqyfnzwjehjt3c,No,N/A,0 - None,,
did:plc:4bor6qgjcw6wmtprqmx4rw6t,Yes,Planes over KTPA (Tampa Airport),0 - None,,
did:plc:32r7scd5hucgv552zjfuaigc,Yes,Astronomy papers on Arxiv,1 - Irrelevant,Figure 1,
did:plc:gfdyia2mewmhic7atsieo6i4,Likely,Photos by Rolando Emmanuelli ,0 - None,,
did:plc:3ahas53kx5oxv2vg5e2fza2p,Yes,Every usps collection box,2 - Somewhat relevant,Street view image of Blue Box,
did:plc:ebfv6nzetjprhogkqgzkmgrk,No,N/A,0 - None,,
did:plc:cq7ln5rhuqxj5yh4objnbixp,Yes,"Promoting ""leaks"" site (sexually explicit)",2 - Somewhat relevant,Elena Caprice Onlyfans,
did:plc:3kghsd7rfkjsszpkwxjxzmr5,Yes,Crypto prices,1 - Irrelevant,BTC-USD,
did:plc:2nuaz7x652n657zielxph3hl,No,N/A,0 - None,,
did:plc:dztnobglcuywvvft7ldnyy6f,No,N/A,0 - None,,
did:plc:7m2l7giygph5ruwfnlglajyu,Yes,Pittsburgh local news,2 - Somewhat relevant,News We Love: Savannah Bananas grant Make-A-Wish surprise,
did:plc:77ucb6w7h7boprb44lyq6a45,Yes,US Congress bill activity,2 - Somewhat relevant,"Department of Defense Appropriations Act, 2026",
did:plc:uvz2gmmwkztuen54is2l4h7e,No,N/A,0 - None,,
did:plc:cqd6qfgwzlepjoynthpj6wau,No,N/A,0 - None,,
did:plc:25qrnpyfmzbm4g5qntqgrkqc,No,N/A,0 - None,,
did:plc:boqq5mampczwvf4ljw5abg6t,Yes,Shogi game broadcasts,0 - None,,
did:plc:y7vteewsgfphs36twd2cibvl,Yes,Radio station now playing,2 - Somewhat relevant,Now Playing on KB Radio  whenever by Shakira    https://www.kbradio.online  #kbradio #KB917 #indiemusic,
did:plc:saoif63uo65jxpirxkirdav6,Yes,Planes in southeastern Pennsylvania (ADS-B),0 - None,,
did:plc:3cdg34adim4g2i3cy7pw4mcu,No (imported tweets),N/A,,,
did:plc:sq6fvewz4bzm44f2hmeowk5t,Yes,Radio station now playing,2 - Somewhat relevant,"""It's Your World (feat. Raheem DeVaughn & J. Ivy) [Single Version]"" by Brian Jackson & Masters At Work",
did:plc:ijf5rksm5b43w4nx6bph7asw,Yes,Character simulation,0 - None,,
did:plc:pmx3b4zwpihdbhoqhbtikbj3,Yes,Photos from a furry convention,0 - None,,
did:plc:pprjlglis2d3mvsiosixjx6g,No,N/A,,,
did:plc:z6vynw3py3g5vwtakzpe3x55,Yes,Photos of fireballs in Western Australia,0 - None,,
did:plc:dzfsd3qxli7y3urrfctxbfcw,Yes,Radio station now playing,3 - Good,Cover image of the song She's On Fire by Bo Saris,Cover afbeelding van het nummer She's On Fire van Bo Saris
did:plc:k5igcriqmplffxazxux36dk3,No,N/A,,,
did:plc:7ni6ktnv7pnp3pk6eosdznrg,Yes,Image generation from news headlines,0 - None,,
did:plc:tpy2vtisiyy7ml34rzevbbjz,No,N/A,,,
did:plc:u4m7fu6flvgkq33l2rilrgyj,Yes,News in Uraguay ,1 - Irrelevant,Img Alt,
did:plc:yumxsbawx5bwfplzad2uw4bd,Yes,(unsure),2 - Somewhat relevant,from 𓊆 Morning Chat 𓊇 Good morning! I woke up on Sunday!!! 𓊆 Mica Tamako/Nijisanji 𓊇,from 𓊆 朝活雑談 𓊇 おはよー！にちようび起きたー！！！ 𓊆 雲母たまこ/にじさんじ 𓊇
did:plc:zhy5q6ywonyzggakeff7zwr3,No,N/A,,,
